quarter,marketing,customers,revpc,revtotal,orderpc,ordertotal,orderval
q1 2014,2282000,,,,,,
q2 2014,3499000,,,,,,
q3 2014,4350000,,,,,,
q4 2014,3868000,,,,,,
q1 2015,8374000,213000,228,48586,3.9,841,57.77
q2 2015,12837000,303000,242,73271,4.1,1247,58.74
q3 2015,15960000,414000,247,102283,4.3,1763,58.01
q4 2015,14191000,429000,272,116663,4.6,1970,59.21
q1 2016,25413000,649000,265,172098,4.5,2903,59.28
q2 2016,32031000,766000,264,201924,4.4,3399,59.4
q3 2016,49618000,907000,227,205452,4,3597,57.12
q4 2016,37079000,879000,246,215942,4.2,3674,58.78
q1 2017,60605000,1036000,236,244843,4.1,4273,57.23
q2 2017,34519000,943000,251,238057,4.3,4033,58.81
q3 2017,34244000,856000,245,210638,4.2,3605,58.16
q4 2017,25161000,746000,248,187653,4.3,3196,57.99
q1 2018,39329000,786000,250,196690,4.4,3473,56.58
