month,population
2014-01-01,317883
2014-02-01,318049
2014-03-01,318222
2014-04-01,318403
2014-05-01,318596
2014-06-01,318797
2014-07-01,319017
2014-08-01,319253
2014-09-01,319488
2014-10-01,319713
2014-11-01,319914
2014-12-01,320101
2015-01-01,320271
2015-02-01,320427
2015-03-01,320596
2015-04-01,320778
2015-05-01,320968
2015-06-01,321171
2015-07-01,321390
2015-08-01,321620
2015-09-01,321851
2015-10-01,322070
2015-11-01,322270
2015-12-01,322464
2016-01-01,322635
2016-02-01,322789
2016-03-01,322955
2016-04-01,323134
2016-05-01,323322
2016-06-01,323522
2016-07-01,323737
2016-08-01,323961
2016-09-01,324186
2016-10-01,324400
2016-11-01,324595
2016-12-01,324783
2017-01-01,324951
2017-02-01,325104
2017-03-01,325270
2017-04-01,325449
2017-05-01,325637
2017-06-01,325836
2017-07-01,326051
2017-08-01,326275
2017-09-01,326500
2017-10-01,326714
2017-11-01,326909
2017-12-01,327097
2018-01-01,327265
2018-02-01,327418
2018-03-01,327584
